Mon Nov 11 18:01:28 2024       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 550.100                Driver Version: 550.100        CUDA Version: 12.4     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA RTX A5000               On  |   00000000:01:00.0 Off |                  Off |
| 30%   19C    P8             18W /  230W |       2MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
|   1  NVIDIA RTX A5000               On  |   00000000:41:00.0 Off |                  Off |
| 30%   17C    P8             17W /  230W |       2MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
|   2  NVIDIA RTX A5000               On  |   00000000:81:00.0 Off |                  Off |
| 30%   18C    P8             15W /  230W |       2MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
|   3  NVIDIA RTX A5000               On  |   00000000:C1:00.0 Off |                  Off |
| 30%   18C    P8             17W /  230W |       2MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
#"Progress (%)"	"Step"	"Time (ps)"	"Speed (ns/day)"	"Time Remaining"
102350.0%	1023500	3689.079999940931	329	23:42:05
102400.0%	1024000	3691.0799999408837	329	23:42:05
102450.0%	1024500	3693.0799999408364	329	23:42:05
102500.0%	1025000	3695.079999940789	329	23:42:05
102550.0%	1025500	3697.079999940742	329	23:42:04
102600.0%	1026000	3699.0799999406945	329	23:42:03
102650.0%	1026500	3701.079999940647	329	23:42:02
102700.0%	1027000	3703.0799999406	329	23:42:02
102750.0%	1027500	3705.0799999405526	329	23:42:02
102800.0%	1028000	3707.0799999405053	329	23:42:02
102850.0%	1028500	3709.079999940458	329	23:42:00
102900.0%	1029000	3711.0799999404107	329	23:42:00
102950.0%	1029500	3713.0799999403635	329	23:41:59
103000.0%	1030000	3715.079999940316	329	23:41:59
103050.0%	1030500	3717.079999940269	329	23:41:59
103100.0%	1031000	3719.0799999402216	329	23:41:57
103150.0%	1031500	3721.0799999401743	329	23:41:57
103200.0%	1032000	3723.079999940127	329	23:41:57
103250.0%	1032500	3725.0799999400797	329	23:41:57
103300.0%	1033000	3727.0799999400324	329	23:41:56
103350.0%	1033500	3729.079999939985	329	23:41:55
103400.0%	1034000	3731.079999939938	329	23:41:54
103450.0%	1034500	3733.0799999398905	329	23:41:54
103500.0%	1035000	3735.079999939843	329	23:41:54
103550.0%	1035500	3737.079999939796	329	23:41:54
103600.0%	1036000	3739.0799999397486	329	23:41:52
103650.0%	1036500	3741.0799999397013	329	23:41:52
103700.0%	1037000	3743.079999939654	329	23:41:52
103750.0%	1037500	3745.0799999396068	329	23:41:51
103800.0%	1038000	3747.0799999395595	329	23:41:51
103850.0%	1038500	3749.079999939512	329	23:41:49
103900.0%	1039000	3751.079999939465	329	23:41:49
103950.0%	1039500	3753.0799999394176	329	23:41:49
104000.0%	1040000	3755.0799999393703	329	23:41:49
104050.0%	1040500	3757.079999939323	329	23:41:49
104100.0%	1041000	3759.0799999392757	329	23:41:47
104150.0%	1041500	3761.0799999392284	329	23:41:47
104200.0%	1042000	3763.079999939181	329	23:41:46
104250.0%	1042500	3765.079999939134	329	23:41:46
104300.0%	1043000	3767.0799999390865	329	23:41:46
104350.0%	1043500	3769.079999939039	329	23:41:44
104400.0%	1044000	3771.079999938992	329	23:41:44
104450.0%	1044500	3773.0799999389446	329	23:41:44
104500.0%	1045000	3775.0799999388973	329	23:41:44
104550.0%	1045500	3777.07999993885	329	23:41:43
104600.0%	1046000	3779.0799999388028	329	23:41:42
104650.0%	1046500	3781.0799999387555	329	23:41:41
104700.0%	1047000	3783.079999938708	329	23:41:41
104750.0%	1047500	3785.079999938661	329	23:41:41
104800.0%	1048000	3787.0799999386136	329	23:41:41
104850.0%	1048500	3789.0799999385663	329	23:41:39
104900.0%	1049000	3791.079999938519	329	23:41:39
104950.0%	1049500	3793.0799999384717	329	23:41:39
105000.0%	1050000	3795.0799999384244	329	23:41:38
105050.0%	1050500	3797.079999938377	329	23:41:38
105100.0%	1051000	3799.07999993833	329	23:41:37
105150.0%	1051500	3801.0799999382825	329	23:41:36
105200.0%	1052000	3803.0799999382352	329	23:41:36
105250.0%	1052500	3805.079999938188	329	23:41:36
105300.0%	1053000	3807.0799999381406	329	23:41:36
105350.0%	1053500	3809.0799999380934	329	23:41:34
105400.0%	1054000	3811.079999938046	329	23:41:34
105450.0%	1054500	3813.0799999379988	329	23:41:33
105500.0%	1055000	3815.0799999379515	329	23:41:33
105550.0%	1055500	3817.079999937904	329	23:41:33
105600.0%	1056000	3819.079999937857	329	23:41:31
